seed,dataset,model,attack,defense,eps,clean_accuracy,adversarial_accuracy,accuracy_drop,evasion_rate,attack_success_rate,mean_l2_perturbation,mean_linf_perturbation,label
43,cicids2017_engelen_friday,mlp,fgsm,none,0.15,0.9966670927917892,0.6920667677191957,0.3046003250725935,0.6551189143541704,0.6574866883813462,0.613048255443573,0.09862302243709564,cicids2017_engelen_friday/mlp/fgsm/ε=0.15
43,cicids2017_engelen_friday,mlp,fgsm,none,0.25,0.9966670927917892,0.6920667677191957,0.3046003250725935,0.6551189143541704,0.6574866883813462,1.017683982849121,0.16437166929244995,cicids2017_engelen_friday/mlp/fgsm/ε=0.25
43,cicids2017_engelen_friday,mlp,pgd,none,0.05,0.9966670927917892,0.5984805595631609,0.3981865332286283,0.8563993794065083,0.8573852665249361,0.2783152163028717,0.04982377216219902,cicids2017_engelen_friday/mlp/pgd/ε=0.05
43,cicids2017_engelen_friday,mlp,pgd,none,0.1,0.9966670927917892,0.5631700056613766,0.4334970871304126,0.9323435259922622,0.9328080201283376,0.5797237157821655,0.09982099384069443,cicids2017_engelen_friday/mlp/pgd/ε=0.1
43,cicids2017_engelen_friday,mlp,pgd,none,0.15,0.9966670927917892,0.548779151524006,0.4478879412677832,0.9632946444352796,0.963546644301847,0.8771948218345642,0.14984816312789917,cicids2017_engelen_friday/mlp/pgd/ε=0.15
43,cicids2017_engelen_friday,mlp,pgd,none,0.25,0.9966670927917892,0.5388534799203755,0.45781361287141376,0.9846422749857617,0.98474771313218,1.2094528675079346,0.24988099932670593,cicids2017_engelen_friday/mlp/pgd/ε=0.25
43,cicids2017_engelen_friday,mlp,gan,none,0.15,0.9966670927917892,0.5322424530197053,0.4644246397720839,0.9988609359963864,0.9988687562169648,0.438409686088562,0.14999794960021973,cicids2017_engelen_friday/mlp/gan/ε=0.15
43,cicids2017_engelen_friday,mlp,gan,none,0.25,0.9966670927917892,0.5317219716200668,0.4649451211717224,0.999980360965455,0.9999804957968442,0.5587881207466125,0.21844391524791718,cicids2017_engelen_friday/mlp/gan/ε=0.25
43,cicids2017_engelen_friday,transfer:mlp->random_forest,pgd,none,0.15,0.9971967054440528,0.536543273006191,0.46065343243786183,0.9897975200125569,0.9898578143589943,0.8245906233787537,0.14985248446464539,
43,cicids2017_engelen_week,mlp,fgsm,none,0.05,0.9897834549588695,0.8061761169509887,0.18360733800788087,0.8789530460455346,0.8764095675632965,0.27235516905784607,0.04432053864002228,cicids2017_engelen_week/mlp/fgsm/ε=0.05
43,cicids2017_engelen_week,mlp,fgsm,none,0.1,0.9897834549588695,0.8098594064356377,0.17992404852323185,0.8581161641969001,0.8589472971295052,0.5379235148429871,0.08864107728004456,cicids2017_engelen_week/mlp/fgsm/ε=0.1
43,cicids2017_engelen_week,mlp,fgsm,none,0.15,0.9897834549588695,0.8114189116796229,0.17836454327924667,0.850678476125589,0.8515537695702724,0.8032051920890808,0.13296160101890564,cicids2017_engelen_week/mlp/fgsm/ε=0.15
43,cicids2017_engelen_week,mlp,fgsm,none,0.25,0.9897834549588695,0.8089260842132832,0.1808573707455864,0.862556066541759,0.8633721258367103,1.3337730169296265,0.2216026484966278,cicids2017_engelen_week/mlp/fgsm/ε=0.25
43,cicids2017_engelen_week,mlp,pgd,none,0.05,0.9897834549588695,0.7946929203223771,0.1950905346364924,0.9304491000965196,0.9308507636215868,0.2864685654640198,0.04991468787193298,cicids2017_engelen_week/mlp/pgd/ε=0.05
43,cicids2017_engelen_week,mlp,pgd,none,0.1,0.9897834549588695,0.7935881715693861,0.19619528338948344,0.9357179356157383,0.9360883159688907,0.47107914090156555,0.09983912110328674,cicids2017_engelen_week/mlp/pgd/ε=0.1
43,cicids2017_engelen_week,mlp,pgd,none,0.15,0.9897834549588695,0.7958929060368329,0.1938905489220366,0.9247828308635667,0.9251616981408947,0.6266500949859619,0.1497013121843338,cicids2017_engelen_week/mlp/pgd/ε=0.15
