dataset,model,attack,defense,eps,n_seeds,seeds,clean_accuracy_mean,clean_accuracy_std,adversarial_accuracy_mean,adversarial_accuracy_std,accuracy_drop_mean,accuracy_drop_std,evasion_rate_mean,evasion_rate_std,attack_success_rate_mean,attack_success_rate_std,mean_l2_perturbation_mean,mean_l2_perturbation_std,mean_linf_perturbation_mean,mean_linf_perturbation_std
cicids2017_engelen_friday,transfer:mlp->random_forest,pgd,none,0.15,3,"42,43,44",0.9972697554650547,0.00021934021493989574,0.5346987599758934,0.001710544663830733,0.4625709954891612,0.0018528794389487087,0.9937480538372193,0.003672746644448088,0.9937846605943581,0.0036502226067917365,0.819990893205007,0.03481749991588562,0.14986716210842133,2.8709108661474444e-05
cicids2017_engelen_week,mlp,fgsm,none,0.05,3,"42,43,44",0.9895794891330659,0.00017673984714054462,0.8275972905084462,0.026169676438176206,0.16198219862461952,0.02629936728736131,0.7746764520115773,0.12479924868090937,0.7735097244641104,0.12477378824027675,0.25771873195966083,0.021051149385199076,0.041105387111504875,0.003227258417998951
cicids2017_engelen_week,mlp,fgsm,none,0.1,3,"42,43,44",0.9895794891330659,0.00017673984714054462,0.8274742760998878,0.023806877697718994,0.16210521303317815,0.023924997231595798,0.7728376699726108,0.11411845951693184,0.7740929289280701,0.11348262233708725,0.5095924933751425,0.04159611042695891,0.08221077422300975,0.006454516835997902
cicids2017_engelen_week,mlp,fgsm,none,0.15,3,"42,43,44",0.9895794891330659,0.00017673984714054462,0.8262647666892855,0.020987089136555483,0.16331472244378042,0.021100442901441897,0.7786025532793829,0.10063960036840588,0.7798271457221012,0.10007824271160723,0.7607907056808472,0.06238885529147216,0.12331615885098775,0.009681769742621365
cicids2017_engelen_week,mlp,fgsm,none,0.25,3,"42,43,44",0.9895794891330659,0.00017673984714054462,0.8189878691920334,0.011138476428547602,0.17059161994103245,0.011280863395662125,0.8132930149867615,0.05389830483564071,0.8143265117224097,0.053614892517616884,1.2627962032953899,0.10418869268469509,0.20552689830462137,0.016136290289929973
cicids2017_engelen_week,mlp,gan,none,0.15,3,"42,43,44",0.9895794891330659,0.00017673984714054462,0.7891509228064746,0.011570552103722709,0.2004285663265913,0.011635521931736285,0.9555316882216623,0.05539327324684175,0.955781813803509,0.05508544576992951,0.3396994272867839,0.033819919006448505,0.13502865036328635,0.01636973671912972
cicids2017_engelen_week,mlp,gan,none,0.25,3,"42,43,44",0.9895794891330659,0.00017673984714054462,0.7905310651063678,0.012838900567977474,0.1990484240266981,0.0126624704177687,0.9489576341103478,0.06007342245880774,0.9492386359788241,0.05972701653747131,0.5660214225451151,0.04436426470148452,0.2190644939740499,0.00502631360954584
cicids2017_engelen_week,mlp,pgd,none,0.05,3,"42,43,44",0.9895794891330659,0.00017673984714054462,0.8028039348737912,0.007313374855354799,0.18677555425927464,0.00748481646648746,0.8904582221077089,0.0359251880585916,0.8910536435228561,0.03574430236630954,0.2757069567839305,0.00969603528019836,0.04986719290415446,4.4346858584081285e-05
cicids2017_engelen_week,mlp,pgd,none,0.1,3,"42,43,44",0.9895794891330659,0.00017673984714054462,0.7983873207858636,0.005030726471740074,0.1911921683472022,0.005180876661755055,0.9115107336937164,0.024859800014198827,0.9119925650837368,0.02472582328268204,0.4720547596613566,0.017247656575156145,0.09977426628271739,6.516118329564707e-05
cicids2017_engelen_week,mlp,pgd,none,0.15,3,"42,43,44",0.9895794891330659,0.00017673984714054462,0.7984595421483078,0.0038903482766032347,0.1911199469847581,0.003998664160310506,0.9111906694243936,0.019102948877595654,0.9116501676242508,0.018994289382752667,0.6306724150975546,0.01942925394708403,0.1496491183837255,7.465121018364069e-05
